	Accession_DB	Localisation	start	end	Nuccore	Close_prophage	Cluster	Type	sys_id	Position	replicon	Assembly	New_clade	Type_defensive	Sys_close	Nb_sys_close	Close_type	Close_sys_id	In_plasmid	Close_conservon	LanC	Dehydra_N_Thiopep	Dehydra	Thiopep_Methyl	Methyl	Thiopep	Transporter
1360	GCF_006547175.1_NZ_SPAY01000334.1_02288	437:1511	437	1511	NZ_SPAY01000334.1	0	GCF_003994375.1_NZ_CP029042.1_03237	lanthipeptide-class-i	GCF_006547175.1_NZ_SPAY01000334.1.region001_lanthipeptide-class-i_1_11512	2288	GCF_006547175.1_NZ_SPAY01000334.1	GCF_006547175.1	Clade 8	Lanthiphage	0.0				0	0.0	1	0	1	0	1	0	2
1361	GCF_006547185.1_NZ_SPAZ01000094.1_07552	125083:126280	125083	126280	NZ_SPAZ01000094.1	0	GCF_014701115.1_NZ_AP023440.1_03283	lanthipeptide-class-i	GCF_006547185.1_NZ_SPAZ01000094.1.region001_lanthipeptide-class-i_114234_129590	7552	GCF_006547185.1_NZ_SPAZ01000094.1	GCF_006547185.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	0	1	1
1362	GCF_006547185.1_NZ_SPAZ01000248.1_08421	58349:59618	58349	59618	NZ_SPAZ01000248.1	0	GCF_013010335.1_NZ_JABERR010000003.1_03349	lanthipeptide-class-i	GCF_006547185.1_NZ_SPAZ01000248.1.region001_lanthipeptide-class-i_46244_72570	8421	GCF_006547185.1_NZ_SPAZ01000248.1	GCF_006547185.1	Clade 10	Lanthiphage	1.0	1.0	RM_Type_I	GCF_006547185.1_RM_Type_I_16	0	0.0	1	1	0	1	0	0	0
1363	GCF_006547185.1_NZ_SPAZ01000294.1_04776	2520:3594	2520	3594	NZ_SPAZ01000294.1	0	GCF_003994375.1_NZ_CP029042.1_03237	lanthipeptide-class-i	GCF_006547185.1_NZ_SPAZ01000294.1.region001_lanthipeptide-class-i_1_13595	4776	GCF_006547185.1_NZ_SPAZ01000294.1	GCF_006547185.1	Clade 8	Lanthiphage	0.0				1	0.0	1	0	1	0	1	0	2
1364	GCF_006547185.1_NZ_SPAZ01000306.1_05303	23445:24591	23445	24591	NZ_SPAZ01000306.1	0	GCF_014873495.1_NZ_JADBGF010000001.1_00285	lanthipeptide-class-i	GCF_006547185.1_NZ_SPAZ01000306.1.region001_lanthipeptide-class-i_12476_37561	5303	GCF_006547185.1_NZ_SPAZ01000306.1	GCF_006547185.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1365	GCF_006547185.1_NZ_SPAZ01000358.1_03935	40253:41258	40253	41258	NZ_SPAZ01000358.1	0	GCF_006547185.1_NZ_SPAZ01000358.1_03935	lanthipeptide-class-i	GCF_006547185.1_NZ_SPAZ01000358.1.region001_lanthipeptide-class-i_29255_51259	3935	GCF_006547185.1_NZ_SPAZ01000358.1	GCF_006547185.1	Clade 3	Lanthiphage	0.0				0	0.0	1	0	0	0	0	1	0
1366	GCF_006636205.1_NZ_VIGB01000003.1_00418	254267:255485	254267	255485	NZ_VIGB01000003.1	0	GCF_029892145.1_NZ_JARZAH010000005.1_06488	lanthipeptide-class-i	GCF_006636205.1_NZ_VIGB01000003.1.region003_lanthipeptide-class-i_244279_268264	418	GCF_006636205.1_NZ_VIGB01000003.1	GCF_006636205.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
1367	GCF_006636205.1_NZ_VIGB01000003.1_02104	2204662:2205604	2204662	2205604	NZ_VIGB01000003.1	0	GCF_006636205.1_NZ_VIGB01000003.1_02104	lanthipeptide-class-i	GCF_006636205.1_NZ_VIGB01000003.1.region015_lanthipeptide-class-i_2194663_2219046	2104	GCF_006636205.1_NZ_VIGB01000003.1	GCF_006636205.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
1368	GCF_006704225.1_NZ_JACLHD010000001.1_07678	7712398:7713490	7712398	7713490	NZ_JACLHD010000001.1	0	GCF_006704225.1_NZ_JACLHD010000001.1_07678	lanthipeptide-class-i	GCF_006704225.1_NZ_JACLHD010000001.1.region022_lanthipeptide-class-i_7699547_7723491	7678	GCF_006704225.1_NZ_JACLHD010000001.1	GCF_006704225.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	1
1369	GCF_006715045.1_NZ_VFML01000001.1_02264	1465918:1467022	1465918	1467022	NZ_VFML01000001.1	0	GCF_006715045.1_NZ_VFML01000001.1_02264	lanthipeptide-class-i	GCF_006715045.1_NZ_VFML01000001.1.region010_lanthipeptide-class-i_1452965_1477023	2264	GCF_006715045.1_NZ_VFML01000001.1	GCF_006715045.1	Clade 7	Lanthiphage	1.0	1.0	CAS_Class1-Subtype-I-C	GCF_006715045.1_CAS_Class1-Subtype-I-C_14	0	0.0	1	1	0	0	1	0	0
1370	GCF_006715635.1_NZ_VFNP01000002.1_00029	25125:26364	25125	26364	NZ_VFNP01000002.1	0	GCF_014701115.1_NZ_AP023440.1_03283	lanthipeptide-class-i	GCF_006715635.1_NZ_VFNP01000002.1.region001_lanthipeptide-class-i_12596_37096	29	GCF_006715635.1_NZ_VFNP01000002.1	GCF_006715635.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1371	GCF_006715635.1_NZ_VFNP01000002.1_02500	2858700:2859945	2858700	2859945	NZ_VFNP01000002.1	0	GCF_014701115.1_NZ_AP023440.1_03283	lanthipeptide-class-i	GCF_006715635.1_NZ_VFNP01000002.1.region009_lanthipeptide-class-i_2847851_2872852	2500	GCF_006715635.1_NZ_VFNP01000002.1	GCF_006715635.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	3
1372	GCF_006715785.1_NZ_VFNX01000001.1_05596	4505666:4506737	4505666	4506737	NZ_VFNX01000001.1	0	GCF_000716935.1_NZ_JNWU01000004.1_06646	lanthipeptide-class-i	GCF_006715785.1_NZ_VFNX01000001.1.region017_lanthipeptide-class-i_4493590_4518774	5596	GCF_006715785.1_NZ_VFNX01000001.1	GCF_006715785.1	Clade 8	Lanthiphage	0.0				0	1.0	1	0	1	1	0	0	1
1373	GCF_006715925.1_NZ_VFOE01000001.1_05481	6299620:6300763	6299620	6300763	NZ_VFOE01000001.1	0	GCF_006715925.1_NZ_VFOE01000001.1_05481	lanthipeptide-class-i	GCF_006715925.1_NZ_VFOE01000001.1.region018_lanthipeptide-class-i_6286911_6307519	5481	GCF_006715925.1_NZ_VFOE01000001.1	GCF_006715925.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
1374	GCF_006715925.1_NZ_VFOE01000001.1_06644	7602866:7604267	7602866	7604267	NZ_VFOE01000001.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_006715925.1_NZ_VFOE01000001.1.region023_lanthipeptide-class-i_7592867_7617402	6644	GCF_006715925.1_NZ_VFOE01000001.1	GCF_006715925.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	3
1375	GCF_006716425.1_NZ_VFOZ01000001.1_07735	6836272:6837604	6836272	6837604	NZ_VFOZ01000001.1	0	GCF_006716425.1_NZ_VFOZ01000001.1_07735	lanthipeptide-class-i	GCF_006716425.1_NZ_VFOZ01000001.1.region011_lanthipeptide-class-i_6826273_6850682	7735	GCF_006716425.1_NZ_VFOZ01000001.1	GCF_006716425.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1376	GCF_006716425.1_NZ_VFOZ01000002.1_00204	201563:202937	201563	202937	NZ_VFOZ01000002.1	0	GCF_006716425.1_NZ_VFOZ01000002.1_00204	lanthipeptide-class-i	GCF_006716425.1_NZ_VFOZ01000002.1.region002_lanthipeptide-class-i_191564_217535	204	GCF_006716425.1_NZ_VFOZ01000002.1	GCF_006716425.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
1378	GCF_006716425.1_NZ_VFOZ01000002.1_00207	206412:207534	206412	207534	NZ_VFOZ01000002.1	0	GCF_006716425.1_NZ_VFOZ01000002.1_00207	lanthipeptide-class-i	GCF_006716425.1_NZ_VFOZ01000002.1.region002_lanthipeptide-class-i_191564_217535	207	GCF_006716425.1_NZ_VFOZ01000002.1	GCF_006716425.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	2
1380	GCF_006716675.1_NZ_VFPM01000002.1_00370	410031:411327	410031	411327	NZ_VFPM01000002.1	0	GCF_006716675.1_NZ_VFPM01000002.1_00370	lanthipeptide-class-i	GCF_006716675.1_NZ_VFPM01000002.1.region001_lanthipeptide-class-i_396862_421328	370	GCF_006716675.1_NZ_VFPM01000002.1	GCF_006716675.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1381	GCF_006717045.1_NZ_VFPH01000001.1_04599	409774:411076	409774	411076	NZ_VFPH01000001.1	0	GCF_007994075.1_NZ_VIWU01000001.1_04780	lanthipeptide-class-i	GCF_006717045.1_NZ_VFPH01000001.1.region001_lanthipeptide-class-i_396818_421077	4599	GCF_006717045.1_NZ_VFPH01000001.1	GCF_006717045.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1382	GCF_006717075.1_NZ_VFQC01000001.1_03507	2893738:2894941	2893738	2894941	NZ_VFQC01000001.1	0	GCF_006717075.1_NZ_VFQC01000001.1_03507	lanthipeptide-class-i	GCF_006717075.1_NZ_VFQC01000001.1.region004_lanthipeptide-class-i_2883733_2906940	3507	GCF_006717075.1_NZ_VFQC01000001.1	GCF_006717075.1	Clade 10	Lanthiphage	1.0	1.0	CAS_Class1-Subtype-I-E	GCF_006717075.1_CAS_Class1-Subtype-I-E_3	0	0.0	1	1	0	0	1	1	0
1383	GCF_006717075.1_NZ_VFQC01000001.1_04337	3806187:3807354	3806187	3807354	NZ_VFQC01000001.1	0	GCF_006717075.1_NZ_VFQC01000001.1_04337	lanthipeptide-class-i	GCF_006717075.1_NZ_VFQC01000001.1.region008_lanthipeptide-class-i_3793120_3818406	4337	GCF_006717075.1_NZ_VFQC01000001.1	GCF_006717075.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1384	GCF_006717075.1_NZ_VFQC01000003.1_00884	374885:376067	374885	376067	NZ_VFQC01000003.1	0	GCF_006717075.1_NZ_VFQC01000003.1_00884	lanthipeptide-class-i	GCF_006717075.1_NZ_VFQC01000003.1.region004_lanthipeptide-class-i_361906_386901	884	GCF_006717075.1_NZ_VFQC01000003.1	GCF_006717075.1	Other	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	2
1385	GCF_006874455.1_NZ_VIRK01000049.1_07295	9713:10949	9713	10949	NZ_VIRK01000049.1	0	GCF_014645855.1_NZ_BMMN01000001.1_04495	lanthipeptide-class-i	GCF_006874455.1_NZ_VIRK01000049.1.region001_lanthipeptide-class-i_1_21796	7295	GCF_006874455.1_NZ_VIRK01000049.1	GCF_006874455.1	Clade 5	Lanthiphage	1.0	1.0	RM_Type_I	GCF_006874455.1_RM_Type_I_7	1	0.0	1	1	0	0	1	1	0
1386	GCF_006874465.1_NZ_VIRL01000001.1_06392	433858:435094	433858	435094	NZ_VIRL01000001.1	0	GCF_014645855.1_NZ_BMMN01000001.1_04495	lanthipeptide-class-i	GCF_006874465.1_NZ_VIRL01000001.1.region002_lanthipeptide-class-i_420815_445941	6392	GCF_006874465.1_NZ_VIRL01000001.1	GCF_006874465.1	Clade 5	Lanthiphage	1.0	1.0	RM_Type_II	GCF_006874465.1_RM_Type_II_4	0	0.0	1	1	0	0	1	1	0
1387	GCF_006974005.1_NZ_CP029823.1_05600	7247431:7248577	7247431	7248577	NZ_CP029823.1	0	GCF_006974005.1_NZ_CP029823.1_05600	lanthipeptide-class-i	GCF_006974005.1_NZ_CP029823.1.region031_lanthipeptide-class-i_7234397_7259584	5600	GCF_006974005.1_NZ_CP029823.1	GCF_006974005.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	1
1388	GCF_007113425.2_NZ_CP041610.2_07731	8932581:8933652	8932581	8933652	NZ_CP041610.2	0	GCF_000716935.1_NZ_JNWU01000004.1_06646	lanthipeptide-class-i	GCF_007113425.2_NZ_CP041610.2.region029_lanthipeptide-class-i_8920497_8945689	7731	GCF_007113425.2_NZ_CP041610.2	GCF_007113425.2	Clade 8	Lanthiphage	0.0				0	1.0	1	0	1	1	0	0	1
1389	GCF_007113485.2_NZ_CP041613.2_08184	9541623:9542694	9541623	9542694	NZ_CP041613.2	0	GCF_000716935.1_NZ_JNWU01000004.1_06646	lanthipeptide-class-i	GCF_007113485.2_NZ_CP041613.2.region029_lanthipeptide-class-i_9529539_9554731	8184	GCF_007113485.2_NZ_CP041613.2	GCF_007113485.2	Clade 8	Lanthiphage	0.0				0	1.0	1	0	1	1	0	0	1
1390	GCF_007113545.2_NZ_CP041602.2_07973	9196177:9197248	9196177	9197248	NZ_CP041602.2	0	GCF_000716935.1_NZ_JNWU01000004.1_06646	lanthipeptide-class-i	GCF_007113545.2_NZ_CP041602.2.region028_lanthipeptide-class-i_9184093_9209285	7973	GCF_007113545.2_NZ_CP041602.2	GCF_007113545.2	Clade 8	Lanthiphage	0.0				0	1.0	1	0	1	1	0	0	1
1391	GCF_007164525.1_NZ_AP019791.1_01252	1256389:1257646	1256389	1257646	NZ_AP019791.1	0	GCF_007164525.1_NZ_AP019791.1_01252	lanthipeptide-class-i	GCF_007164525.1_NZ_AP019791.1.region005_lanthipeptide-class-i_1246390_1271027	1252	GCF_007164525.1_NZ_AP019791.1	GCF_007164525.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
1392	GCF_007280575.1_NZ_VKJP01000188.1_00088	10046:11374	10046	11374	NZ_VKJP01000188.1	0	GCF_007280585.1_NZ_VKLS01000168.1_03951	lanthipeptide-class-i	GCF_007280575.1_NZ_VKJP01000188.1.region001_lanthipeptide-class-i_1_11375	88	GCF_007280575.1_NZ_VKJP01000188.1	GCF_007280575.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1393	GCF_007280585.1_NZ_VKLS01000168.1_03951	10030:11335	10030	11335	NZ_VKLS01000168.1	0	GCF_007280585.1_NZ_VKLS01000168.1_03951	lanthipeptide-class-i	GCF_007280585.1_NZ_VKLS01000168.1.region001_lanthipeptide-class-i_1_11339	3951	GCF_007280585.1_NZ_VKLS01000168.1	GCF_007280585.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1394	GCF_007363395.1_NZ_CP040916.1_00125	158695:160003	158695	160003	NZ_CP040916.1	0	GCF_001418465.1_NZ_LIQU01000084.1_02946	lanthipeptide-class-i	GCF_007363395.1_NZ_CP040916.1.region002_lanthipeptide-class-i_148696_173120	125	GCF_007363395.1_NZ_CP040916.1	GCF_007363395.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1395	GCF_007483665.1_NZ_VIQO01000011.1_07354	300516:301845	300516	301845	NZ_VIQO01000011.1	0	GCF_016862575.1_NZ_BONF01000017.1_05847	lanthipeptide-class-i	GCF_007483665.1_NZ_VIQO01000011.1.region003_lanthipeptide-class-i_290517_314943	7354	GCF_007483665.1_NZ_VIQO01000011.1	GCF_007483665.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
1396	GCF_007679945.1_NZ_VEHK01000015.1_05828	8076:9225	8076	9225	NZ_VEHK01000015.1	0	GCF_007679945.1_NZ_VEHK01000015.1_05828	lanthipeptide-class-i	GCF_007679945.1_NZ_VEHK01000015.1.region001_lanthipeptide-class-i_1_22291	5828	GCF_007679945.1_NZ_VEHK01000015.1	GCF_007679945.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1397	GCF_007713715.1_NZ_VJWX01000007.1_02346	24071:25322	24071	25322	NZ_VJWX01000007.1	0	GCF_007713715.1_NZ_VJWX01000007.1_02346	lanthipeptide-class-i	GCF_007713715.1_NZ_VJWX01000007.1.region001_lanthipeptide-class-i_13071_38379	2346	GCF_007713715.1_NZ_VJWX01000007.1	GCF_007713715.1	Clade 2	Lanthiphage	1.0	1.0	Hna	GCF_007713715.1_Hna_5	1	0.0	1	0	1	0	1	1	0
1398	GCF_007713715.1_NZ_VJWX01000020.1_03021	30718:31873	30718	31873	NZ_VJWX01000020.1	0	GCF_007713715.1_NZ_VJWX01000020.1_03021	lanthipeptide-class-i	GCF_007713715.1_NZ_VJWX01000020.1.region001_lanthipeptide-class-i_20719_32642	3021	GCF_007713715.1_NZ_VJWX01000020.1	GCF_007713715.1	Clade 7	Lanthiphage	1.0	3.0	RM_Type_IIG|RM_Type_IV|Wadjet_II	GCF_007713715.1_RM_Type_IIG_8|GCF_007713715.1_RM_Type_IV_9|GCF_007713715.1_Wadjet_II_4	0	0.0	1	0	0	0	1	1	0
1399	GCF_007713735.2_NZ_VMNW02000010.1_02260	26966:28115	26966	28115	NZ_VMNW02000010.1	0	GCF_007713735.2_NZ_VMNW02000010.1_02260	lanthipeptide-class-i	GCF_007713735.2_NZ_VMNW02000010.1.region001_lanthipeptide-class-i_14161_38116	2260	GCF_007713735.2_NZ_VMNW02000010.1	GCF_007713735.2	Clade 7	Lanthiphage	1.0	2.0	Gabija|Shedu	GCF_007713735.2_Gabija_1|GCF_007713735.2_Shedu_2	0	0.0	1	0	0	0	1	1	0
1400	GCF_007713745.1_NZ_VJZA01000037.1_06447	32766:33981	32766	33981	NZ_VJZA01000037.1	0	GCF_002846615.1_NZ_PJMY01000003.1_02880	lanthipeptide-class-i	GCF_007713745.1_NZ_VJZA01000037.1.region001_lanthipeptide-class-i_19651_44989	6447	GCF_007713745.1_NZ_VJZA01000037.1	GCF_007713745.1	Clade 2	Lanthiphage	0.0				1	0.0	1	0	1	0	1	1	0
1401	GCF_007713755.1_NZ_VJZB01000003.1_00915	126479:127679	126479	127679	NZ_VJZB01000003.1	0	GCF_014191255.1_NZ_JACHWH010000011.1_02384	lanthipeptide-class-i	GCF_007713755.1_NZ_VJZB01000003.1.region002_lanthipeptide-class-i_116480_140736	915	GCF_007713755.1_NZ_VJZB01000003.1	GCF_007713755.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	1	0	1
1402	GCF_007828695.1_NZ_VIUV01000001.1_04423	126749:128120	126749	128120	NZ_VIUV01000001.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_007828695.1_NZ_VIUV01000001.1.region002_lanthipeptide-class-i_113610_138121	4423	GCF_007828695.1_NZ_VIUV01000001.1	GCF_007828695.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
1403	GCF_007828695.1_NZ_VIUV01000009.1_02751	29285:30623	29285	30623	NZ_VIUV01000009.1	0	GCF_024213195.1_NZ_JANAVF010000016.1_02117	lanthipeptide-class-i	GCF_007828695.1_NZ_VIUV01000009.1.region001_lanthipeptide-class-i_16209_40624	2751	GCF_007828695.1_NZ_VIUV01000009.1	GCF_007828695.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
1404	GCF_007828695.1_NZ_VIUV01000024.1_01013	34525:35674	34525	35674	NZ_VIUV01000024.1	0	GCF_000719785.1_NZ_JOHU01000065.1_05033	lanthipeptide-class-i	GCF_007828695.1_NZ_VIUV01000024.1.region001_lanthipeptide-class-i_21532_37306	1013	GCF_007828695.1_NZ_VIUV01000024.1	GCF_007828695.1	Clade 7	Lanthiphage	0.0				1	0.0	1	0	1	0	1	0	0
1405	GCF_007828955.1_NZ_VIVR01000001.1_01988	2231427:2232609	2231427	2232609	NZ_VIVR01000001.1	1	GCF_007828955.1_NZ_VIVR01000001.1_01988	lanthipeptide-class-i	GCF_007828955.1_NZ_VIVR01000001.1.region010_lanthipeptide-class-i_2218420_2242610	1988	GCF_007828955.1_NZ_VIVR01000001.1	GCF_007828955.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
1406	GCF_007829815.1_NZ_VIWT01000001.1_04600	2719736:2720909	2719736	2720909	NZ_VIWT01000001.1	0	GCF_007829815.1_NZ_VIWT01000001.1_04600	lanthipeptide-class-i	GCF_007829815.1_NZ_VIWT01000001.1.region008_lanthipeptide-class-i_2709737_2735414	4600	GCF_007829815.1_NZ_VIWT01000001.1	GCF_007829815.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1407	GCF_007829875.1_NZ_VIWV01000001.1_02555	2920489:2921827	2920489	2921827	NZ_VIWV01000001.1	0	GCF_014650015.1_NZ_BMUD01000005.1_05435	lanthipeptide-class-i	GCF_007829875.1_NZ_VIWV01000001.1.region018_lanthipeptide-class-i_2907449_2931828	2555	GCF_007829875.1_NZ_VIWV01000001.1	GCF_007829875.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
1408	GCF_007829915.1_NZ_VIWY01000005.1_05411	581195:582593	581195	582593	NZ_VIWY01000005.1	0	GCF_008271795.1_NZ_VTPA01000007.1_03048	lanthipeptide-class-i	GCF_007829915.1_NZ_VIWY01000005.1.region003_lanthipeptide-class-i_568056_592594	5411	GCF_007829915.1_NZ_VIWY01000005.1	GCF_007829915.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
1409	GCF_007829925.1_NZ_VIXA01000001.1_04320	1547289:1548360	1547289	1548360	NZ_VIXA01000001.1	0	GCF_003176715.1_NZ_QGSW01000063.1_02899	lanthipeptide-class-i	GCF_007829925.1_NZ_VIXA01000001.1.region006_lanthipeptide-class-i_1536476_1561105	4320	GCF_007829925.1_NZ_VIXA01000001.1	GCF_007829925.1	Clade 4	Lanthiphage	1.0	1.0	RM_Type_I	GCF_007829925.1_RM_Type_I_5	0	0.0	1	1	0	0	1	1	0
1410	GCF_007829995.1_NZ_VLLP01000001.1_05566	6749275:6750352	6749275	6750352	NZ_VLLP01000001.1	0	GCF_018070435.1_NZ_JAGPXQ010000035.1_06028	lanthipeptide-class-i	GCF_007829995.1_NZ_VLLP01000001.1.region030_lanthipeptide-class-i_6738488_6763088	5566	GCF_007829995.1_NZ_VLLP01000001.1	GCF_007829995.1	Clade 4	Lanthiphage	0.0				0	0.0	1	1	0	0	3	1	0
1411	GCF_007833915.1_NZ_CP041061.1_06283	7380379:7381609	7380379	7381609	NZ_CP041061.1	0	GCF_002266845.1_NZ_NGNT01000043.1_06335	lanthipeptide-class-i	GCF_007833915.1_NZ_CP041061.1.region032_lanthipeptide-class-i_7369443_7394648	6283	GCF_007833915.1_NZ_CP041061.1	GCF_007833915.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1412	GCF_007856155.1_NZ_CP042266.1_04695	5563269:5564502	5563269	5564502	NZ_CP042266.1	0	GCF_000154925.1_NZ_DS570630.1_02994	lanthipeptide-class-i	GCF_007856155.1_NZ_CP042266.1.region018_lanthipeptide-class-i_5550223_5575382	4695	GCF_007856155.1_NZ_CP042266.1	GCF_007856155.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	2	1	0
1413	GCF_007859215.1_NZ_VOHM01000006.1_00354	106800:108057	106800	108057	NZ_VOHM01000006.1	0	GCF_030408595.1_NZ_CP047080.1_00570	lanthipeptide-class-i	GCF_007859215.1_NZ_VOHM01000006.1.region001_lanthipeptide-class-i_96801_120947	354	GCF_007859215.1_NZ_VOHM01000006.1	GCF_007859215.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	0	1	0	0	0	2
1414	GCF_007990755.1_NZ_BJXA01000001.1_06088	332983:334288	332983	334288	NZ_BJXA01000001.1	0	GCF_900269665.1_NZ_LT985361.1_04638	lanthipeptide-class-i	GCF_007990755.1_NZ_BJXA01000001.1.region002_lanthipeptide-class-i_319852_344289	6088	GCF_007990755.1_NZ_BJXA01000001.1	GCF_007990755.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	4
1415	GCF_007992535.1_NZ_BKAL01000005.1_03271	166476:167850	166476	167850	NZ_BKAL01000005.1	0	GCF_013409305.1_NZ_JACBZJ010000001.1_01370	lanthipeptide-class-i	GCF_007992535.1_NZ_BKAL01000005.1.region001_lanthipeptide-class-i_156477_175369	3271	GCF_007992535.1_NZ_BKAL01000005.1	GCF_007992535.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	3
1417	GCF_007992535.1_NZ_BKAL01000005.1_03272	167846:169079	167846	169079	NZ_BKAL01000005.1	0	GCF_013409305.1_NZ_JACBZJ010000001.1_01371	lanthipeptide-class-i	GCF_007992535.1_NZ_BKAL01000005.1.region001_lanthipeptide-class-i_156477_175369	3272	GCF_007992535.1_NZ_BKAL01000005.1	GCF_007992535.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	3
1419	GCF_007993965.1_NZ_VIVS01000003.1_03864	1590752:1591754	1590752	1591754	NZ_VIVS01000003.1	0	GCF_014873915.1_NZ_JADBEJ010000005.1_05567	lanthipeptide-class-i	GCF_007993965.1_NZ_VIVS01000003.1.region007_lanthipeptide-class-i_1577315_1604560	3864	GCF_007993965.1_NZ_VIVS01000003.1	GCF_007993965.1	Clade 1	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1420	GCF_007993965.1_NZ_VIVS01000003.1_03955	1690157:1691408	1690157	1691408	NZ_VIVS01000003.1	0	GCF_000244955.1_NZ_CM001439.1_00106	lanthipeptide-class-i	GCF_007993965.1_NZ_VIVS01000003.1.region008_lanthipeptide-class-i_1677048_1703548	3955	GCF_007993965.1_NZ_VIVS01000003.1	GCF_007993965.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	1	0	1
1421	GCF_007994075.1_NZ_VIWU01000001.1_04780	5053675:5054977	5053675	5054977	NZ_VIWU01000001.1	0	GCF_007994075.1_NZ_VIWU01000001.1_04780	lanthipeptide-class-i	GCF_007994075.1_NZ_VIWU01000001.1.region007_lanthipeptide-class-i_5040701_5064978	4780	GCF_007994075.1_NZ_VIWU01000001.1	GCF_007994075.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1422	GCF_007994225.1_NZ_VLLL01000010.1_02501	71533:72691	71533	72691	NZ_VLLL01000010.1	0	GCF_007994225.1_NZ_VLLL01000010.1_02501	lanthipeptide-class-i	GCF_007994225.1_NZ_VLLL01000010.1.region001_lanthipeptide-class-i_60590_85544	2501	GCF_007994225.1_NZ_VLLL01000010.1	GCF_007994225.1	Limit	Lanthiphage	0.0				1	0.0	1	0	1	0	1	1	1
1423	GCF_007994225.1_NZ_VLLL01000013.1_02279	69900:71124	69900	71124	NZ_VLLL01000013.1	0	GCF_007994225.1_NZ_VLLL01000013.1_02279	lanthipeptide-class-i	GCF_007994225.1_NZ_VLLL01000013.1.region001_lanthipeptide-class-i_59901_84037	2279	GCF_007994225.1_NZ_VLLL01000013.1	GCF_007994225.1	Non Defensive	lanthipeptide-class-i	1.0	1.0	RM_Type_I	GCF_007994225.1_RM_Type_I_4	0	0.0	1	1	0	0	0	0	0
1424	GCF_007994955.1_NZ_VOQD01000003.1_04128	348148:349423	348148	349423	NZ_VOQD01000003.1	1	GCF_002261115.1_NZ_NDXL01000002.1_01292	lanthipeptide-class-i	GCF_007994955.1_NZ_VOQD01000003.1.region001_lanthipeptide-class-i_336045_362492	4128	GCF_007994955.1_NZ_VOQD01000003.1	GCF_007994955.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
